Nome,Preço
"Notebook Acer Aspire 5 A515-45-R36L AMD Ryzen R7 12GB RAM SSD 512 GB  15,6"" Full HD Linux NX.AYDAL.00N","R$3.159,73"
"FIREBAT-Laptop Leve com Impressão Digital FHD, Notebook, Computador de Negócios, Intel N5095, 16GB LPDDR4 RAM, 512GB, 1TB SSD, 14,1 em","R$1.244,72"
Notebook Asus Vivobook Core i5 8GB 256GB SSD 15.6'' Windows 11 Intel Iris Xe X1504VA-NJ1737W,R$3.099
Firebat a16 portátil 15.6 16 Polegada cpu intel n5095 16gb ram ssd 512gb 1tb bt4.2 wifi5 lpddr4 computador de negócios leve notebook,"R$1.681,38"
NOTEBOOK HP 240 G6 CORE I5 7200U SSD 256 GB 8 GB RAM - WIN10 PRO,"R$1.899,9"
"Adreamer laptop de 13,3 polegadas Intel Celeron N4020 8GB RAM 1T SSD Windows 10 computador escritório escola notebook PC","R$907,87"
Bone 14 Polegada baixo preço portátil intel celeron n4000 8gb ram 256gb 512gb ssd tela hd escritório aprendizagem portátil ultrafinos laptops,"R$813,63"
HUADISK Ssd Nvme M2 Pcie Gen3 Disco Rígido 128gb 256gb 512gb 1tb Disco Rígido Interno Para Notebook Desktop,"R$56,74"
Notebook Asus Vivobook 16 Intel Core i7 8GB 256GB,"R$3.966,77"
"BYONE-Laptop Intel N4000, 14.1 Polegada, 8GB de RAM, 256GB, SSD 512GB, Notebook Windows 11, LCD HD 1366x768, WiFi, HDMI, USB, PC","R$873,35"
"CHUWI Herobook Pro / Herobook Plus Laptop Windows 11 Laptop 14,1 polegadas / 15,6 polegadas FHD Intel N4020 LPDDR4 8GB 256GB SSD Computador PC","R$1.049,56"
"Chuwi minibook x laptop tablet 2 em 1 intel n150 cpu 10.51 ""fhd ips tela 12gb lpddr5 512g ssd windows 11 notebook 1200*1920","R$1.844,44"
